date,price,sentiment
2025-06-13,28000.0,0.20378957840839562
2025-06-14,27544.726549849787,0.20485562343694624
2025-06-15,27634.042842104034,0.4633206624340504
2025-06-16,26679.76692260714,0.12194167172030554
2025-06-17,27003.32010040361,-0.6171018026228761
2025-06-18,28420.394739110587,-0.6827607826732739
2025-06-19,28319.96940837548,-1.1874968100570278
2025-06-20,29695.06587253038,-0.5788620957019531
2025-06-21,29594.90199867982,0.8956227094133757
2025-06-22,27632.676272308476,0.19234563714517322
2025-06-23,27414.190022340226,-0.3407773732480058
2025-06-24,27791.696563994057,0.3015441902793641
2025-06-25,27593.245217009455,0.5717189235195324
2025-06-26,27036.557372491523,0.5158986705554249
2025-06-27,26658.33683303255,-0.4152841330852513
2025-06-28,27507.91414288841,-0.19300413822688817
2025-06-29,27471.762812777026,0.5682597783329238
2025-06-30,26656.43458601764,-0.7424182129006575
2025-07-01,27908.981291267206,-0.7605027308723562
2025-07-02,29005.199342715005,-2.022376359674414
2025-07-03,29730.66224605093,-2.2494172352766157
2025-07-04,30977.813170691836,-2.8641733036675507
2025-07-05,31942.571615364763,-1.8407170030279119
2025-07-06,31414.658607579167,-2.1212774422431555
2025-07-07,32145.655746327524,-0.9561742352669813
2025-07-08,30923.03620280234,-0.3563489662402778
2025-07-09,30557.67068804479,-0.294287012848396
2025-07-10,29344.044657046707,-2.2760683302270057
2025-07-11,30950.016895902845,-1.750953859341761
2025-07-12,31102.908903400126,-1.0110871720501096
2025-07-13,30299.889191882095,-0.4269434453759834
2025-07-14,29896.01167425619,-1.5006585875060248
2025-07-15,30328.30646890491,-1.232898030020597
2025-07-16,30643.52522881597,-1.5062029496017155
2025-07-17,30789.659097459193,-1.5231404298181803
2025-07-18,30449.096063212313,0.08700125724211197
2025-07-19,29225.832621109534,-0.5660891098849132
2025-07-20,29205.50931170344,-0.28632078885992257
2025-07-21,29323.273272040926,0.6761313962726255
2025-07-22,27738.649059896376,-0.01855068059041624
2025-07-23,27856.434057102113,-0.02641495339054208
2025-07-24,27221.623122761033,0.1613945586666192
2025-07-25,27700.264700062802,0.23362554772715258
2025-07-26,27170.659742731033,-0.8399363724586942
2025-07-27,27541.13459485978,-0.3564632318548637
2025-07-28,28043.56986544687,1.0451877843956958
2025-07-29,27547.68210267805,-0.6321196921452582
2025-07-30,27679.865161154677,0.44698095201622834
2025-07-31,26964.66803595733,0.4531360316113858
2025-08-01,26710.56953708391,-0.2024977317143035
2025-08-02,26998.672612475384,1.6935686241845893
2025-08-03,26084.417888195858,1.7582276343974395
2025-08-04,25024.930640631344,0.09715437317715159
2025-08-05,25973.236727174517,0.20438386348600707
2025-08-06,26946.322990255147,0.7039025903483456
2025-08-07,26469.649168319975,0.340259696727103
2025-08-08,27033.840956589498,0.877478427685756
2025-08-09,26270.90016901659,0.5503592957946393
2025-08-10,26044.573550773526,0.9899649605459496
2025-08-11,25262.658286973903,1.9221116201110329
2025-08-12,25546.266770238646,0.6492571213817453
2025-08-13,25931.606520892667,0.6471090544544217
2025-08-14,26382.437452020327,0.06828112939477653
2025-08-15,27035.846788383948,0.23277470676587692
